raceId,constructorId,circuitId,year,constructorName,circuitName,circuitClass1,circuitClass2,circuitClass3,distanceKm,location,country,constructorDriverCount,totalDriverCount,totalConstructorCount,totalCalculatedPoints,totalRacePoints,shareOfTotalPoints,maxPoints,shareOfMaxPoints,firstPlace,secondPlace,thirdPlace,trailingDriverCircuitExperience,totalDriverCircuitExperience,trailingAvgRelativeFinish,avgRelativePerformance,eventTrailingCompetitivenessDriver,eventCompetitivenessDriver,trailingConstructorCircuitExperience,totalConstructorCircuitExperience,trailingConstructorAvgRelativeFinish,constructorAvgRelativeFinish,eventTrailingCompetitivenessConstructor,eventCompetitivenessConstructor,logAdjustedShareOfMaxPoints,finishingNumber,finishingPercentage,finishingGroup,podiumAppearance,numberOfRacesAtCircuit
2,2,2,2009,BMW Sauber,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,6,26.01010101,0.230679612,16,0.375,0,1,0,11,15,0.479545455,0.469851929,0.593288149,0.510554667,3,4,0.393939394,0.426704545,0.541298701,0.426665059,-0.980829253,3,0.3,2,1,19
2,3,2,2009,Williams,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,0.0001,26.01010101,3.84466E-06,16,6.25E-06,0,0,0,4,13,0.795454546,0.551377411,0.593288149,0.510554667,10,19,0.565,0.537858852,0.541298701,0.426665059,-11.98292908,6,0.6,3,0,19
2,4,2,2009,Renault,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,1.0001E-10,26.01010101,3.84504E-12,16,6.25063E-12,0,0,0,8,18,0.367207792,0.474195076,0.593288149,0.510554667,7,12,0.32987013,0.438478535,0.541298701,0.426665059,-25.79833966,9,0.9,4,0,19
2,5,2,2009,Toro Rosso,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,1,5,1,0.675,0.593288149,0.510554667,3,12,0.742424242,0.611395202,0.541298701,0.426665059,-21.19326947,8,0.8,3,0,19
2,6,2,2009,Ferrari,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,1E-06,26.01010101,3.84466E-08,16,6.25E-08,0,0,0,14,30,0.479450758,0.448535354,0.593288149,0.510554667,10,19,0.235,0.326176236,0.541298701,0.426665059,-16.58809928,7,0.7,3,0,19
2,7,2,2009,Toyota,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,7,26.01010101,0.269126214,16,0.4375,0,0,1,11,18,0.698181819,0.580705129,0.593288149,0.510554667,7,8,0.469480519,0.432670455,0.541298701,0.426665059,-0.826678573,2,0.2,1,1,19
2,9,2,2009,Red Bull,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,1,26.01010101,0.038446602,16,0.0625,0,0,0,8,22,0.760389611,0.415656566,0.593288149,0.510554667,4,13,0.564772727,0.338956876,0.541298701,0.426665059,-2.772588722,4,0.4,2,0,19
2,10,2,2009,Force India,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,1.01E-22,26.01010101,3.88311E-24,16,6.3125E-24,0,0,0,12,18,0.742045455,0.649685163,0.593288149,0.510554667,1,10,0.727272727,0.583257576,0.541298701,0.426665059,-53.41951044,10,1,4,0,19
2,23,2,2009,Brawn,Malaysian Grand Prix,Race,Race,Race,5.543,Sepang,Malaysia,2,20,10,12,26.01010101,0.461359223,16,0.75,1,0,0,19,30,0.406060606,0.421342383,0.593288149,0.510554667,0,1,1,0.15,0.541298701,0.426665059,-0.287682072,1,0.1,1,1,19
3,1,17,2009,McLaren,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,3,26.01010101,0.115339806,16,0.1875,0,0,0,4,19,0.555681819,0.402938034,0.520223485,0.496117956,5,16,0.473636364,0.449455492,0.560166667,0.466317608,-1.673976434,3,0.3,2,0,16
3,2,17,2009,BMW Sauber,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,1.01E-12,26.01010101,3.88311E-14,16,6.3125E-14,0,0,0,7,12,0.47689394,0.504482323,0.520223485,0.496117956,3,4,0.432575758,0.480681818,0.560166667,0.466317608,-30.39365951,8,0.8,3,0,16
3,3,17,2009,Williams,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,1E-18,26.01010101,3.84466E-20,16,6.25001E-20,0,0,0,4,13,0.629545455,0.566012397,0.520223485,0.496117956,5,16,0.563636364,0.582267992,0.560166667,0.466317608,-44.2191194,10,1,4,0,16
3,4,17,2009,Renault,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,1E-06,26.01010101,3.84466E-08,16,6.25E-08,0,0,0,6,17,0.263181818,0.446414142,0.520223485,0.496117956,5,12,0.273636364,0.436837121,0.560166667,0.466317608,-16.58809928,6,0.6,3,0,16
3,5,17,2009,Toro Rosso,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,0.0001,26.01010101,3.84466E-06,16,6.25001E-06,0,0,0,1,5,0.825,0.609722222,0.520223485,0.496117956,3,14,0.440909091,0.594886364,0.560166667,0.466317608,-11.98292809,5,0.5,2,0,16
3,6,17,2009,Ferrari,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,0.00000001,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,10,28,0.315454546,0.366558442,0.520223485,0.496117956,5,16,0.354545455,0.305681818,0.560166667,0.466317608,-21.19326947,7,0.7,3,0,16
3,7,17,2009,Toyota,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,0.01,26.01010101,0.000384466,16,0.000625,0,0,0,6,13,0.675568182,0.753499279,0.520223485,0.496117956,5,6,0.703636364,0.698863636,0.560166667,0.466317608,-7.377758908,4,0.4,2,0,16
3,9,17,2009,Red Bull,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,16,26.01010101,0.615145631,16,1,1,1,0,7,23,0.394772728,0.297170746,0.520223485,0.496117956,4,15,0.459090909,0.311919192,0.560166667,0.466317608,0,1,0.1,1,2,16
3,10,17,2009,Force India,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,1E-16,26.01010101,3.84466E-18,16,6.25001E-18,0,0,0,7,13,0.679772727,0.641774892,0.520223485,0.496117956,1,11,0.9,0.627582645,0.560166667,0.466317608,-39.61394921,9,0.9,4,0,16
3,23,17,2009,Brawn,Chinese Grand Prix,Race,Race,Race,5.451,Shanghai,China,2,20,10,7,26.01010101,0.269126214,16,0.4375,0,0,1,10,21,0.386363637,0.372607081,0.520223485,0.496117956,0,1,1,0.175,0.560166667,0.466317608,-0.826678573,2,0.2,1,1,16
4,1,3,2009,McLaren,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,3,26.01010101,0.115339806,16,0.1875,0,0,0,4,17,0.329545455,0.344438132,0.520166667,0.501467143,5,15,0.38,0.501060606,0.542015152,0.458962062,-1.673976434,4,0.4,2,0,15
4,2,3,2009,BMW Sauber,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,1.01E-24,26.01010101,3.88311E-26,16,6.3125E-26,0,0,0,7,11,0.348181819,0.540833333,0.520166667,0.501467143,3,4,0.371212121,0.509659091,0.542015152,0.458962062,-58.02468062,10,1,4,0,15
4,3,3,2009,Williams,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,0.000001,26.01010101,3.84466E-08,16,6.25E-08,0,0,0,4,12,0.507575758,0.544015152,0.520166667,0.501467143,5,15,0.464545455,0.547045455,0.542015152,0.458962062,-16.58809928,7,0.7,3,0,15
4,4,3,2009,Renault,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,0.00010001,26.01010101,3.84504E-06,16,6.25063E-06,0,0,0,6,15,0.562272727,0.513170164,0.520166667,0.501467143,5,11,0.458636364,0.546349862,0.542015152,0.458962062,-11.9828291,6,0.6,3,0,15
4,5,3,2009,Toro Rosso,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,1E-14,26.01010101,3.84466E-16,16,6.25E-16,0,0,0,1,4,0.840909091,0.712121212,0.520166667,0.501467143,3,13,0.78030303,0.700815851,0.542015152,0.458962062,-35.00878001,8,0.8,3,0,15
4,6,3,2009,Ferrari,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,1,26.01010101,0.038446602,16,0.0625,0,0,0,10,27,0.296363637,0.32937063,0.520166667,0.501467143,5,15,0.226818182,0.298813131,0.542015152,0.458962062,-2.772588722,5,0.5,2,0,15
4,7,3,2009,Toyota,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,4.01,26.01010101,0.154170874,16,0.250625,0,0,1,6,11,0.366363637,0.474905303,0.520166667,0.501467143,5,6,0.415909091,0.388257576,0.542015152,0.458962062,-1.383797481,3,0.3,2,1,15
4,9,3,2009,Red Bull,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,6,26.01010101,0.230679612,16,0.375,0,1,0,6,20,0.706363637,0.33525023,0.520166667,0.501467143,4,14,0.618181818,0.431141775,0.542015152,0.458962062,-0.980829253,2,0.2,1,1,15
4,10,3,2009,Force India,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,1.01E-18,26.01010101,3.88311E-20,16,6.3125E-20,0,0,0,7,12,0.717727273,0.708333333,0.520166667,0.501467143,1,10,0.704545455,0.516477273,0.542015152,0.458962062,-44.20917007,9,0.9,4,0,15
4,23,3,2009,Brawn,Bahrain Grand Prix,Race,Race,Race,5.412,Sakhir,Bahrain,2,20,10,12,26.01010101,0.461359223,16,0.75,1,0,0,10,19,0.526363637,0.512233947,0.520166667,0.501467143,0,1,1,0.15,0.542015152,0.458962062,-0.287682072,1,0.1,1,1,15
5,1,4,2009,McLaren,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,1E-06,26.01010101,3.84466E-08,16,6.25E-08,0,0,0,4,19,0.329545455,0.509892191,0.535040606,0.517173879,18,29,0.36646704,0.432621653,0.549148156,0.422861457,-16.58809928,7,0.7,3,0,29
5,2,4,2009,BMW Sauber,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,0.01,26.01010101,0.000384466,16,0.000625,0,0,0,11,16,0.346015713,0.454481175,0.535040606,0.517173879,3,4,0.393939394,0.407954545,0.549148156,0.422861457,-7.377758898,5,0.5,2,0,29
5,3,4,2009,Williams,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,0.0001,26.01010101,3.84466E-06,16,6.25E-06,0,0,0,4,13,0.393939394,0.439669422,0.535040606,0.517173879,18,29,0.388965105,0.450870191,0.549148156,0.422861457,-11.98292909,6,0.6,3,0,29
5,4,4,2009,Renault,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,2,26.01010101,0.076893204,16,0.125,0,0,0,8,19,0.587806638,0.54411022,0.535040606,0.517173879,7,14,0.374206349,0.448196248,0.549148156,0.422861457,-2.079441542,3,0.3,2,0,29
5,5,4,2009,Toro Rosso,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,1.01E-24,26.01010101,3.88311E-26,16,6.3125E-26,0,0,0,1,5,0.931818182,0.839520202,0.535040606,0.517173879,3,14,0.833333333,0.659604978,0.549148156,0.422861457,-58.02468062,10,1,4,0,29
5,6,4,2009,Ferrari,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,1,26.01010101,0.038446602,16,0.0625,0,0,0,14,32,0.379114058,0.429502872,0.535040606,0.517173879,18,29,0.314224015,0.319460883,0.549148156,0.422861457,-2.772588722,4,0.4,2,0,29
5,7,4,2009,Toyota,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,13,20,0.479536436,0.58974026,0.535040606,0.517173879,7,8,0.537518038,0.554703283,0.549148156,0.422861457,-21.19326947,8,0.8,3,0,29
5,9,4,2009,Red Bull,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,7,26.01010101,0.269126214,16,0.4375,0,0,1,8,24,0.773484849,0.318308081,0.535040606,0.517173879,4,15,0.578282828,0.327138047,0.549148156,0.422861457,-0.826678573,2,0.2,1,1,29
5,10,4,2009,Force India,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,1E-16,26.01010101,3.84466E-18,16,6.25E-18,0,0,0,15,21,0.63988789,0.599159967,0.535040606,0.517173879,1,11,0.704545455,0.553064738,0.549148156,0.422861457,-39.61395021,9,0.9,4,0,29
5,23,4,2009,Brawn,Spanish Grand Prix,Race,Race,Race,4.655,Montmeló,Spain,2,20,10,16,26.01010101,0.615145631,16,1,1,1,0,24,35,0.489257444,0.447354405,0.535040606,0.517173879,0,1,1,0.075,0.549148156,0.422861457,0,1,0.1,1,2,29
6,1,6,2009,McLaren,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,1E-12,26.01010101,3.84466E-14,16,6.25E-14,0,0,0,4,19,0.282954545,0.391846349,0.526913517,0.494340758,38,49,0.371898071,0.408617923,0.56024385,0.423767258,-30.40360983,10,1,4,0,39
6,2,6,2009,BMW Sauber,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,1E-10,26.01010101,3.84466E-12,16,6.25E-12,0,0,0,11,16,0.305667789,0.443528467,0.526913517,0.494340758,3,4,0.375757576,0.456818182,0.56024385,0.423767258,-25.79843965,9,0.9,4,0,39
6,3,6,2009,Williams,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,1,26.01010101,0.038446602,16,0.0625,0,0,0,4,13,0.543181818,0.447796144,0.526913517,0.494340758,32,43,0.405244849,0.47308919,0.56024385,0.423767258,-2.772588722,4,0.4,2,0,39
6,4,6,2009,Renault,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,0.01,26.01010101,0.000384466,16,0.000625,0,0,0,8,18,0.586002886,0.629363952,0.526913517,0.494340758,15,22,0.427758207,0.486092028,0.56024385,0.423767258,-7.377758908,5,0.5,2,0,39
6,5,6,2009,Toro Rosso,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,0.0001,26.01010101,3.84466E-06,16,0.00000625,0,0,0,1,5,1,0.655555556,0.526913517,0.494340758,3,14,0.617424242,0.606385281,0.56024385,0.423767258,-11.98292909,6,0.6,3,0,39
6,6,6,2009,Ferrari,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,7,26.01010101,0.269126214,16,0.4375,0,0,1,14,32,0.413888889,0.445398099,0.526913517,0.494340758,54,65,0.318397761,0.319794784,0.56024385,0.423767258,-0.826678573,2,0.2,1,1,39
6,7,6,2009,Toyota,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25001E-10,0,0,0,13,20,0.563678451,0.623164983,0.526913517,0.494340758,7,8,0.576803752,0.576578283,0.56024385,0.423767258,-21.19326847,8,0.8,3,0,39
6,9,6,2009,Red Bull,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,2,26.01010101,0.076893204,16,0.125,0,0,0,8,24,0.441125541,0.334816919,0.526913517,0.494340758,4,15,0.68415404,0.371557239,0.56024385,0.423767258,-2.079441542,3,0.3,2,0,39
6,10,6,2009,Force India,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,1E-06,26.01010101,3.84466E-08,16,6.25E-08,0,0,0,15,21,0.646182984,0.518777057,0.526913517,0.494340758,1,11,0.825,0.463739669,0.56024385,0.423767258,-16.58809928,7,0.7,3,0,39
6,23,6,2009,Brawn,Monaco Grand Prix,Street,Street,Road,3.337,Monte Carlo,Monaco,2,20,10,16,26.01010101,0.615145631,16,1,1,1,0,24,36,0.486452263,0.453160054,0.526913517,0.494340758,0,1,1,0.075,0.56024385,0.423767258,0,1,0.1,1,2,39
7,1,5,2009,McLaren,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,1.01E-14,26.01010101,3.88311E-16,16,6.3125E-16,0,0,0,4,10,0.3,0.450833334,0.566590909,0.523203283,4,7,0.305681818,0.309794372,0.559791667,0.481328644,-34.99882969,7,0.7,3,0,7
7,2,5,2009,BMW Sauber,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,0.01,26.01010101,0.000384466,16,0.000625,0,0,0,7,11,0.430871213,0.405063132,0.566590909,0.523203283,3,4,0.362878788,0.384659091,0.559791667,0.481328644,-7.377758898,5,0.5,2,0,7
7,3,5,2009,Williams,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,2,26.01010101,0.076893204,16,0.125,0,0,0,4,8,0.731060606,0.571085859,0.566590909,0.523203283,4,7,0.667613636,0.629707792,0.559791667,0.481328644,-2.079441542,3,0.3,2,0,7
7,4,5,2009,Renault,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,5,9,0.453409091,0.500757576,0.566590909,0.523203283,4,7,0.299431818,0.371103896,0.559791667,0.481328644,-21.19326947,6,0.6,3,0,7
7,5,5,2009,Toro Rosso,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,1E-18,26.01010101,3.84466E-20,16,6.25001E-20,0,0,0,1,5,0.95,0.748611111,0.566590909,0.523203283,3,6,0.799242424,0.72114899,0.559791667,0.481328644,-44.2191194,8,0.8,3,0,7
7,6,5,2009,Ferrari,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,1.000001,26.01010101,0.03844664,16,0.062500063,0,0,0,8,12,0.292045455,0.322467533,0.566590909,0.523203283,4,7,0.233522727,0.273322511,0.559791667,0.481328644,-2.772587722,4,0.4,2,0,7
7,7,5,2009,Toyota,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,3.0001,26.01010101,0.11534365,16,0.18750625,0,0,0,5,11,0.567045455,0.627597403,0.566590909,0.523203283,4,5,0.50625,0.465,0.559791667,0.481328644,-1.673943101,2,0.2,1,0,7
7,9,5,2009,Red Bull,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,10,26.01010101,0.384466019,16,0.625,0,1,1,6,12,0.778977273,0.504545455,0.566590909,0.523203283,4,7,0.523295455,0.40021645,0.559791667,0.481328644,-0.470003629,1,0.1,1,2,7
7,10,5,2009,Force India,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,1E-22,26.01010101,3.84466E-24,16,6.25001E-24,0,0,0,6,10,0.673863636,0.64030303,0.566590909,0.523203283,1,4,0.9,0.758333333,0.559791667,0.481328644,-53.42945977,9,0.9,4,0,7
7,23,5,2009,Brawn,Turkish Grand Prix,Race,Race,Race,5.338,Istanbul,Turkey,2,20,10,10,26.01010101,0.384466019,16,0.625,1,0,0,8,14,0.488636364,0.460768398,0.566590909,0.523203283,0,1,1,0.5,0.559791667,0.481328644,-0.470003629,1,0.1,1,1,7
8,1,9,2009,McLaren,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,1E-20,26.01010101,3.84466E-22,16,6.25E-22,0,0,0,4,19,0.188636364,0.412548563,0.527001073,0.501150672,30,41,0.321454649,0.377117592,0.586649074,0.450784494,-48.82429057,9,0.9,4,0,36
8,2,9,2009,BMW Sauber,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,1.0001E-14,26.01010101,3.84504E-16,16,6.25063E-16,0,0,0,11,16,0.457539683,0.567236325,0.527001073,0.501150672,3,4,0.322727273,0.417045455,0.586649074,0.450784494,-35.00868003,8,0.8,3,0,36
8,3,9,2009,Williams,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,2,26.01010101,0.076893204,16,0.125,0,0,0,4,13,0.434090909,0.408161157,0.527001073,0.501150672,27,38,0.396115094,0.430383611,0.586649074,0.450784494,-2.079441542,4,0.4,2,0,36
8,4,9,2009,Renault,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,1.0001E-12,26.01010101,3.84504E-14,16,6.25063E-14,0,0,0,8,19,0.590259741,0.552116756,0.527001073,0.501150672,12,19,0.461629016,0.515877337,0.586649074,0.450784494,-30.40350984,7,0.7,3,0,36
8,5,9,2009,Toro Rosso,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,1.01E-24,26.01010101,3.88311E-26,16,6.3125E-26,0,0,0,1,5,0.775,0.754166667,0.527001073,0.501150672,3,14,0.765151515,0.684929654,0.586649074,0.450784494,-58.02468062,10,1,4,0,36
8,6,9,2009,Ferrari,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,3.0001,26.01010101,0.11534365,16,0.18750625,0,0,0,14,32,0.311661256,0.345992488,0.527001073,0.501150672,41,52,0.355891241,0.346246124,0.586649074,0.450784494,-1.673943101,3,0.3,2,0,36
8,7,9,2009,Toyota,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,0.010001,26.01010101,0.000384504,16,0.000625063,0,0,0,13,20,0.577867966,0.609794372,0.527001073,0.501150672,7,8,0.670794682,0.636945346,0.586649074,0.450784494,-7.377658913,5,0.5,2,0,36
8,9,9,2009,Red Bull,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,16,26.01010101,0.615145631,16,1,1,1,0,8,24,0.839455783,0.414272187,0.527001073,0.501150672,4,15,0.697727273,0.369065657,0.586649074,0.450784494,0,1,0.1,1,2,36
8,10,9,2009,Force India,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,15,21,0.673310023,0.527218615,0.527001073,0.501150672,1,11,0.875,0.50523416,0.586649074,0.450784494,-21.19326947,6,0.6,3,0,36
8,23,9,2009,Brawn,British Grand Prix,Race,Race,Race,5.891,Silverstone,UK,2,20,10,5,26.01010101,0.19223301,16,0.3125,0,0,1,25,36,0.422189009,0.419999595,0.527001073,0.501150672,0,1,1,0.225,0.586649074,0.450784494,-1.16315081,2,0.2,1,1,36
9,1,20,2009,McLaren,European Grand Prix,Race,Race,Race,5.148,Nürburg,Germany,2,20,10,0.0001,26.01010101,3.84466E-06,16,0.00000625,0,0,0,2,7,0.386363637,0.435637627,0.622447525,0.500162475,22,25,0.448277655,0.452378276,0.595435512,0.467439454,-11.98292909,6,0.6,3,0,18
9,2,20,2009,BMW Sauber,European Grand Prix,Race,Race,Race,5.148,Nürburg,Germany,2,20,10,1E-08,26.01010101,3.84466E-10,16,6.25E-10,0,0,0,8,11,0.360389611,0.494444445,0.622447525,0.500162475,2,3,0.352272727,0.434848485,0.595435512,0.467439454,-21.19326946,8,0.8,3,0,18
9,3,20,2009,Williams,European Grand Prix,Race,Race,Race,5.148,Nürburg,Germany,2,20,10,3,26.01010101,0.115339806,16,0.1875,0,0,0,2,6,0.806818182,0.512803031,0.622447525,0.500162475,16,19,0.429197625,0.460133726,0.595435512,0.467439454,-1.673976434,3,0.3,2,0,18
